PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   3   2  -6   4   0.82390  18601.46  31.15111     3.410     3.618   280.016     0.162     0.090     1.165     3.561
   4   2   2   4   0.82338  18589.80  31.10650     0.005     0.005   279.315     0.162     0.090     1.164     0.005
   6   1  -5   4   0.82315  18584.58  31.08654     3.030     3.031   279.001     0.162     0.090     1.164     3.153
   1   1   5   4   0.82168  18551.44  30.95997     3.213     3.045   277.017     0.162     0.090     1.162     3.320
   6   2  -4   4   0.81984  18509.81  30.80136     0.073     0.072   274.538     0.163     0.090     1.159     0.075
   5   1  -6   4   0.81869  18483.83  30.70260     2.541     2.877   273.000     0.163     0.090     1.157     2.587
   2   2   4   4   0.81851  18479.88  30.68759     0.319     0.366   272.767     0.163     0.090     1.157     0.324
   1   1  -6   4   0.81770  18461.46  30.61771     2.482     2.880   271.681     0.163     0.091     1.156     2.515
   2   5   0   4   0.81567  18415.59  30.44411     0.259     0.274   268.991     0.163     0.091     1.153     0.259
   2   5  -2   4   0.81424  18383.43  30.32273     0.238     0.257   267.117     0.164     0.091     1.151     0.237
   0   5   2   4   0.81408  18379.76  30.30888     0.141     0.152   266.903     0.164     0.091     1.151     0.141
   4   2  -6   4   0.81187  18330.00  30.12168     0.001     0.001   264.024     0.164     0.091     1.148     0.001
   2   2  -6   4   0.81139  18319.08  30.08068     0.159     0.344   263.396     0.164     0.092     1.147     0.157
   4   4   0   4   0.79938  18047.97  29.07340     0.068     0.190   248.145     0.167     0.093     1.130     0.063
   4   4  -4   4   0.79406  17927.77  28.63340     0.107     0.140   241.600     0.168     0.094     1.122     0.096
   0   4   4   4   0.79345  17914.15  28.58381     0.000     0.000   240.867     0.168     0.094     1.122     0.000
   5   3   0   4   0.79105  17859.75  28.38622     2.772     3.076   237.954     0.168     0.095     1.118     2.460
   6   2  -1   4   0.78981  17831.77  28.28491     1.290     1.467   236.466     0.169     0.095     1.116     1.138
   5   2   1   4   0.78940  17822.55  28.25160     1.409     1.601   235.978     0.169     0.095     1.116     1.240
   6   0   0   2   0.78687  17765.53  28.04601     0.278     0.232   116.486     0.169     0.095     1.112     0.121
   5   3  -5   4   0.78303  17678.72  27.73481     2.484     2.317   228.452     0.170     0.096     1.107     2.116
   6   2  -5   4   0.78214  17658.68  27.66329     0.608     0.569   227.417     0.170     0.096     1.106     0.516
   0   3   5   4   0.78212  17658.33  27.66203     2.511     2.351   227.399     0.170     0.096     1.106     2.130
   3   5  -1   4   0.78119  17637.21  27.58678     2.488     2.282   226.313     0.171     0.096     1.104     2.100
   2   5   1   4   0.78101  17633.15  27.57235     2.601     2.375   226.105     0.171     0.096     1.104     2.193
   1   2   5   4   0.78088  17630.25  27.56201     0.484     0.441   225.956     0.171     0.096     1.104     0.408
   3   5  -2   4   0.78025  17616.00  27.51136     3.150     2.814   225.227     0.171     0.097     1.103     2.646
   1   5   2   4   0.77996  17609.54  27.48839     3.166     2.815   224.896     0.171     0.097     1.103     2.655
   2   5  -3   4   0.77851  17576.81  27.37231     2.778     2.668   223.229     0.171     0.097     1.100     2.313
   1   5  -3   4   0.77841  17574.40  27.36378     2.755     2.660   223.107     0.171     0.097     1.100     2.293
   5   2  -6   4   0.77831  17572.18  27.35591     0.731     0.709   222.994     0.171     0.097     1.100     0.608
   1   2  -6   4   0.77746  17552.96  27.28789     0.713     0.701   222.020     0.171     0.097     1.099     0.590
   6   0  -6   2   0.77558  17510.59  27.13839     0.260     0.299   109.942     0.172     0.097     1.096     0.107
   0   0   6   2   0.77432  17482.08  27.03807     0.189     0.213   109.227     0.172     0.098     1.095     0.077
   6   1   0   4   0.77428  17481.33  27.03544     0.078     0.088   218.418     0.172     0.098     1.095     0.064
   7   0  -3   2   0.77383  17471.10  26.99953     1.374     1.562   108.953     0.172     0.098     1.094     0.558
   4   0   3   2   0.77268  17445.14  26.90847     1.220     1.447   108.307     0.172     0.098     1.092     0.493
   7   0  -4   2   0.77170  17423.12  26.83141     0.436     0.479   107.761     0.173     0.098     1.091     0.175
