PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   5   3  -3   4   0.86347  19494.77  43.69168     3.706     3.547   354.679     0.154     0.084     1.221    35.823
   2   3   3   4   0.86339  19493.08  54.00364     3.383     3.241   354.557     0.154     0.084     1.221    32.692
   4   1  -6   4   0.85772  19365.02  54.01656     0.587     0.557   345.330     0.155     0.085     1.212     5.521
   2   1  -6   4   0.85768  19364.08  72.77979     0.084     0.080   345.263     0.155     0.085     1.212     0.790
   3   3  -5   4   0.85632  19333.29  49.95966     3.341     3.208   343.072     0.156     0.085     1.210    31.243
   2   3  -5   4   0.85630  19332.90  53.52604     2.937     2.816   343.045     0.156     0.085     1.210    27.459
   5   2  -5   4   0.85496  19302.78  45.79731     1.629     1.552   340.912     0.156     0.085     1.209    15.132
   0   2   5   4   0.85488  19300.84  70.69235     1.097     1.040   340.775     0.156     0.085     1.209    10.185
   1   5   0   4   0.85485  19300.22  42.82414     3.041     2.900   340.731     0.156     0.085     1.208    28.239
   1   5  -1   4   0.85441  19290.39  42.79427     3.256     3.110   340.037     0.156     0.085     1.208    30.179
   0   5   1   4   0.85441  19290.31  43.08578     3.159     3.016   340.031     0.156     0.085     1.208    29.279
   4   4  -2   4   0.84792  19143.68  42.07635     0.410     0.405   329.809     0.157     0.086     1.199     3.689
   2   4   2   4   0.84788  19142.77  46.30601     0.366     0.361   329.747     0.157     0.086     1.199     3.290
   6   0  -1   2   0.84761  19136.86  43.55446     1.701     1.704   164.670     0.157     0.086     1.198     7.636
   5   0   1   2   0.84758  19136.02  48.23774     1.779     1.773   164.641     0.157     0.086     1.198     7.984
   2   4  -4   4   0.84282  19028.60  45.97372     0.437     0.411   321.950     0.158     0.087     1.191     3.832
   5   3  -1   4   0.83924  18947.70  42.04546     0.125     0.144   316.509     0.159     0.087     1.186     1.078
   4   3   1   4   0.83921  18947.04  45.25805     0.058     0.067   316.465     0.159     0.087     1.186     0.503
   6   0  -5   2   0.83760  18910.76  42.89230     0.384     0.452   157.024     0.159     0.088     1.184     1.644
   1   0   5   2   0.83749  18908.20  91.25252     0.601     0.667   156.939     0.159     0.088     1.184     2.572
   4   4  -1   4   0.83578  18869.72  41.26820     0.550     0.597   311.331     0.159     0.088     1.181     4.663
   3   4   1   4   0.83576  18869.22  43.49342     0.527     0.573   311.297     0.159     0.088     1.181     4.474
