PWDR PG3_45598.gsa Bank 1 Mn3Ga  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   4   2   0   4   1.29893  29325.29  85.37198     0.198     0.232   424.969     0.103     0.047     1.836     0.045
   1   7   0   4   1.29893  29325.29  85.37198     0.040     0.047   424.969     0.103     0.047     1.836     0.009
   4   0   1   4   1.29123  29151.46  84.29853     0.000     0.000   414.980     0.103     0.047     1.825     0.000
   2   6   1   8   1.29123  29151.46  84.29853     0.004     0.005   829.960     0.103     0.047     1.825     0.002
   1   3   3   8   1.27941  28884.67  82.66300     0.001     0.001   799.987     0.104     0.048     1.809     0.001
   2   0   3   4   1.27941  28884.67  82.66300     0.001     0.001   399.994     0.104     0.048     1.809     0.000
   3   3   2   8   1.26893  28647.95  81.22407     0.457     0.462   774.080     0.105     0.049     1.794     0.187
   0   6   2   4   1.26893  28647.95  81.22407     0.281     0.285   387.040     0.105     0.049     1.794     0.058
   3   5   1   8   1.24479  28103.06  77.95546     0.035     0.035   716.839     0.107     0.050     1.760     0.013
   4   2   1   8   1.24479  28103.06  77.95546     0.511     0.514   716.839     0.107     0.050     1.760     0.194
   1   7   1   8   1.24479  28103.06  77.95546     0.199     0.200   716.839     0.107     0.050     1.760     0.076
   0   4   3   4   1.23419  27863.80  76.53946     0.016     0.009   346.367     0.108     0.050     1.745     0.003
   2   2   3   8   1.23419  27863.80  76.53946     0.010     0.006   692.734     0.108     0.050     1.745     0.004
   4   4   0   4   1.17084  26433.83  68.32327     0.000     0.000   280.546     0.114     0.054     1.655     0.000
   0   8   0   2   1.17084  26433.83  68.32327     0.000     0.000   140.273     0.114     0.054     1.655     0.000
   2   6   2   8   1.14872  25934.52  65.55449     0.011     0.003   519.879     0.116     0.056     1.624     0.003
   4   0   2   4   1.14872  25934.52  65.55449     0.022     0.007   259.939     0.116     0.056     1.624     0.003
   4   4   1   8   1.13072  25528.18  63.33976     0.011     0.007   488.051     0.118     0.057     1.598     0.003
   0   8   1   4   1.13072  25528.18  63.33976     0.000     0.000   244.026     0.118     0.057     1.598     0.000
   3   1   3   8   1.12276  25348.44  62.37117     0.115     0.114   474.449     0.119     0.058     1.587     0.029
   1   5   3   8   1.12276  25348.44  62.37117     0.176     0.174   474.449     0.119     0.058     1.587     0.044
   2   4   3   8   1.12276  25348.44  62.37117     0.223     0.220   474.449     0.119     0.058     1.587     0.056
   3   5   2   8   1.11565  25188.01  61.51235     0.018     0.020   462.550     0.119     0.058     1.577     0.004
